ad_id,page_id,page_name,promotional_text,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,ad_creative_bodies,ad_creative_links,ad_creative_link_titles,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_urls,ad_active_status,image_name,image_link,image_description,ad_url
564613953020498,7133041750,PacSun,"Get ready to hit the Vegas streets in style with new circuit-approved gear, made for race day and beyond.",,,,"['Get ready to hit the Vegas streets in style with new circuit-approved gear, made for race day and beyond.', 'Get ready to hit the Vegas streets in style with new circuit-approved gear, made for race day and beyond.', 'Get ready to hit the Vegas streets in style with new circuit-approved gear, made for race day and beyond.']",,"['New Formula 1® x PacSun', 'New Formula 1® x PacSun', 'New Formula 1® x PacSun']",,,,,New Formula 1® x PacSun,,,https://www.facebook.com/ads/library/?id=564613953020498
1002051251690116,7133041750,PacSun,Friend hangouts? Family dinners? We got the ‘fits for all your holiday plans.,,,,"['Friend hangouts? Family dinners? We got the ‘fits for all your holiday plans.', 'Friend hangouts? Family dinners? We got the ‘fits for all your holiday plans.', 'Friend hangouts? Family dinners? We got the ‘fits for all your holiday plans.']",,"['Hundreds Of New Arrivals', 'Hundreds Of New Arrivals', 'Hundreds Of New Arrivals']",,,,,Hundreds Of New Arrivals,,,https://www.facebook.com/ads/library/?id=1002051251690116
457966317402871,7133041750,PacSun,Step into the new season and discover the latest trends.,,,,"['Step into the new season and discover the latest trends.', 'Step into the new season and discover the latest trends.', 'Step into the new season and discover the latest trends.', 'Step into the new season and discover the latest trends.', 'Step into the new season and discover the latest trends.', 'Step into the new season and discover the latest trends.']",,"['Shop New Arrivals', 'Shop New Arrivals', 'Shop New Arrivals', 'Shop New Arrivals', 'Shop New Arrivals', 'Shop New Arrivals']",,,,,Shop New Arrivals,,,https://www.facebook.com/ads/library/?id=457966317402871
990373686464387,7133041750,PacSun,"Make it a season to remember in new graphics, denim, swim, & more. Plus, your entire order ships FREE when you spend over $50!",,,,"['Make it a season to remember in new graphics, denim, swim, & more. Plus, your entire order ships FREE when you spend over $50!', 'Make it a season to remember in new graphics, denim, swim, & more. Plus, your entire order ships FREE when you spend over $50!', 'Make it a season to remember in new graphics, denim, swim, & more. Plus, your entire order ships FREE when you spend over $50!', 'Make it a season to remember in new graphics, denim, swim, & more. Plus, your entire order ships FREE when you spend over $50!', 'Make it a season to remember in new graphics, denim, swim, & more. Plus, your entire order ships FREE when you spend over $50!', 'Make it a season to remember in new graphics, denim, swim, & more. Plus, your entire order ships FREE when you spend over $50!']",,"['New Wardrobe Selections', 'New Wardrobe Selections', 'New Wardrobe Selections', 'New Wardrobe Selections', 'New Wardrobe Selections', 'New Wardrobe Selections']",,,,,New Wardrobe Selections,,,https://www.facebook.com/ads/library/?id=990373686464387
575765494972911,7133041750,PacSun,Something for every mood — because personality never goes out of style.,,,,"['Something for every mood — because personality never goes out of style.', 'Something for every mood — because personality never goes out of style.', 'Something for every mood — because personality never goes out of style.', 'Something for every mood — because personality never goes out of style.', 'Something for every mood — because personality never goes out of style.', 'Something for every mood — because personality never goes out of style.']",,"['The Perfect Pair of Jeans', 'The Perfect Pair of Jeans', 'The Perfect Pair of Jeans', 'The Perfect Pair of Jeans', 'The Perfect Pair of Jeans', 'The Perfect Pair of Jeans']",,,,,The Perfect Pair of Jeans,,,https://www.facebook.com/ads/library/?id=575765494972911
817737433661678,7133041750,PacSun,Your new wardrobe staple is waiting 👕,,,,"['Your new wardrobe staple is waiting 👕', 'Your new wardrobe staple is waiting 👕', 'Your new wardrobe staple is waiting 👕', 'Your new wardrobe staple is waiting 👕', 'Your new wardrobe staple is waiting 👕', 'Your new wardrobe staple is waiting 👕']",,"[""Men's Bug Collection T-Shirt in White"", ""Men's Dexter's Laboratory Scientist T-Shirt in Black"", ""Men's Jurassic Park Kanji Logo T-Shirt in White"", ""Men's Looney Tunes Marvin The Martian T-Shirt in Black"", ""Men's Marvel Avengers Classic T-Shirt in White"", ""Men's Advice Meme T-Shirt in Black""]",,,,,Men's Bug Collection T-Shirt in White,,,https://www.facebook.com/ads/library/?id=817737433661678
535056112598214,7133041750,PacSun,Just delivered: New denim & jean styles! You know what to do 🛍 🛒,,,,"['Just delivered: New denim & jean styles! You know what to do 🛍 🛒', 'Just delivered: New denim & jean styles! You know what to do 🛍 🛒', 'Just delivered: New denim & jean styles! You know what to do 🛍 🛒', 'Just delivered: New denim & jean styles! You know what to do 🛍 🛒', 'Just delivered: New denim & jean styles! You know what to do 🛍 🛒', 'Just delivered: New denim & jean styles! You know what to do 🛍 🛒']",,"[""Women's Washed Black Ripped '90s Boyfriend Jeans"", ""Women's Light Indigo Ripped '90s Boyfriend Jeans in Medium Indigo"", ""Women's Light Indigo Distressed Dad Jeans in Medium Indigo"", ""Women's Eco Light Blue '90s Boyfriend Jeans in Medium Indigo"", ""Edikted Women's Dahlia Low Rise Straight Leg Jeans in White"", ""John Galt Women's Navy Corduroy Straight Leg Pants""]",,,,,Women's Washed Black Ripped '90s Boyfriend Jeans,,,https://www.facebook.com/ads/library/?id=535056112598214
905904014814529,7133041750,PacSun,Just delivered: New denim & jean styles! You know what to do 🛍 🛒,,,,"['Just delivered: New denim & jean styles! You know what to do 🛍 🛒', 'Just delivered: New denim & jean styles! You know what to do 🛍 🛒', 'Just delivered: New denim & jean styles! You know what to do 🛍 🛒', 'Just delivered: New denim & jean styles! You know what to do 🛍 🛒', 'Just delivered: New denim & jean styles! You know what to do 🛍 🛒', 'Just delivered: New denim & jean styles! You know what to do 🛍 🛒']",,"[""Women's Light Indigo Ripped '90s Boyfriend Jeans in Medium Indigo"", ""Women's Light Indigo Distressed Dad Jeans in Medium Indigo"", ""Edikted Women's Dahlia Low Rise Straight Leg Jeans in White"", ""John Galt Women's Navy Corduroy Straight Leg Pants"", ""Women's Eco Light Blue Ripped Wide Leg Jeans in Medium Indigo"", ""Women's Eco Light Indigo Ripped Low Rise Wide Leg Jeans""]",,,,,Women's Light Indigo Ripped '90s Boyfriend Jeans in Medium Indigo,,,https://www.facebook.com/ads/library/?id=905904014814529
491382227221224,7133041750,PacSun,"Just delivered: Cool graphics, classic tees, & more everyday tops. You know what to do 🛍 🛒",,,,"['Just delivered: Cool graphics, classic tees, & more everyday tops. You know what to do 🛍 🛒', 'Just delivered: Cool graphics, classic tees, & more everyday tops. You know what to do 🛍 🛒', 'Just delivered: Cool graphics, classic tees, & more everyday tops. You know what to do 🛍 🛒', 'Just delivered: Cool graphics, classic tees, & more everyday tops. You know what to do 🛍 🛒', 'Just delivered: Cool graphics, classic tees, & more everyday tops. You know what to do 🛍 🛒', 'Just delivered: Cool graphics, classic tees, & more everyday tops. You know what to do 🛍 🛒']",,"['John Galt Santana Long Sleeve Top in White', ""Women's Star Wars Faces T-Shirt in Natural"", ""Women's Rainbow Pride Daria T-Shirt in White"", ""Women's SpongeBob Beach T-Shirt in White"", ""Women's 101 Dalmatians T-Shirt in Natural"", ""Women's MTV '90s Sunflower T-Shirt in Black""]",,,,,John Galt Santana Long Sleeve Top in White,,,https://www.facebook.com/ads/library/?id=491382227221224
530310246659328,7133041750,PacSun,Cool weather = new ‘fits season. Shop the latest hoodies and sweatshirts before they’re gon,,,,"['Cool weather = new ‘fits season. Shop the latest hoodies and sweatshirts before they’re gon', 'Cool weather = new ‘fits season. Shop the latest hoodies and sweatshirts before they’re gon', 'Cool weather = new ‘fits season. Shop the latest hoodies and sweatshirts before they’re gon']",,"['Hoodies That Hit Different!', 'Hoodies That Hit Different!', 'Hoodies That Hit Different!']",,,,,Hoodies That Hit Different!,,,https://www.facebook.com/ads/library/?id=530310246659328
